"Localização","Preço m2 2023","Variação mensal","variação trimestral","Variação anual","Máximo histórico","Variação máxima"
"Portugal","15,5 €/m2","0.80%","0.90%","20.40%","17,0 €/m2 out 2025","-8.9%"
"Aveiro","9,3 €/m2","0.00%","-3.70%","13.80%","10,4 €/m2 abr 2026","-11.2%"
"Braga","8,5 €/m2","-1.10%","-3.50%","14.10%","10,6 €/m2 abr 2025","-19.7%"
"Castelo Branco","7,5 €/m2","9.60%","9.20%","18.60%","8,6 €/m2 ago 2025","-12.4%"
"Coimbra","9,8 €/m2","3.50%","0.50%","28.50%","13,2 €/m2 maio 2025","-26.0%"
"Évora","10,3 €/m2","0.50%","-8.00%","10.30%","12,0 €/m2 jan 2026","-14.1%"
"Faro","13,2 €/m2","1.30%","-2.30%","17.70%","16,1 €/m2 ago 2025","-17.7%"
"Leiria","9,3 €/m2","3.90%","2.70%","18.70%","10,3 €/m2 jul 2025","-10.1%"
"Lisboa","19,1 €/m2","0.50%","0.20%","17.70%","20,9 €/m2 out 2025","-8.3%"
"Madeira (Ilha)","13,5 €/m2","5.40%","2.10%","25.20%","16,6 €/m2 abr 2026","-18.9%"
"Portalegre","6,1 €/m2","9.50%","6.50%","35.20%","8,0 €/m2 out 2025","-23.8%"
"Porto","15,1 €/m2","1.20%","6.00%","23.30%","16,2 €/m2 out 2025","-7.0%"
"Santarém","7,3 €/m2","-1.30%","5.10%","17.10%","9,2 €/m2 abr 2026","-20.4%"
"São Miguel (ilha)","9,1 €/m2","-4.80%","N/A","13.50%","12,0 €/m2 abr 2026","-23.9%"
"Setúbal","12,5 €/m2","0.00%","4.40%","21.00%","14,7 €/m2 abr 2026","-14.9%"
"Viana do Castelo","8,1 €/m2","0.20%","-11.00%","5.40%","9,7 €/m2 out 2025","-16.5%"
"Vila Real","6,2 €/m2","0.00%","-1.30%","-9.30%","8,6 €/m2 ago 2025","-28.3%"
"Viseu","7,4 €/m2","6.60%","5.70%","32.70%","8,0 €/m2 jul 2025","-8.3%"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
