"Local","1Q 4ºT 2023","1Q 3ºT2023","1Q 2ºT2023","1Q 1ºT2023","MÉDIA","2QM 4ºT 2023","2QM 3ºT2023","2QM 2ºT2023","2QM 1ºT2023","Média","3Q 4ºT 2023","3Q 3ºT2023","3Q 2ºT2023","3Q 1ºT2023","MÉDIA"
"Portugal","938","923","912","909","921","1,611","1,579","1,541","1,509","1,560","2,447","2,400","2,333","2,274","2,364"
"Continente","941","926","915","912","924","1,618","1,587","1,550","1,519","1,569","2,456","2,409","2,346","2,288","2,375"
"Norte","889","878","864","860","873","","","1,394","1,367","1,331","1,304","1,349","2,000","1,968","1,896","1,835","1,925"
"Alto Minho","654","629","632","641","639","","","1,108","1,091","1,077","1,073","1,087","1,542","1,508","1,489","1,460","1,500"
"Arcos de Valdevez","408","390","380","385","391","","","813","766","754","760","773","1,426","1,375","1,270","1,271","1,336"
"Caminha","892","934","851","779","864","","","1,318","1,298","1,280","1,201","1,274","1,750","1,719","1,635","1,574","1,670"
"Melgaço","200","193","202","223","205","","","404","420","400","428","413","733","747","724","740","736"
"Monção","469","450","469","506","474","","","910","843","895","936","896","1,345","1,218","1,241","1,228","1,258"
"Paredes de Coura","400","364","367","363","374","","","723","600","645","565","633","1,189","1,020","988","950","1,037"
"Ponte da Barca","325","400","517","463","426","","","759","792","868","896","829","1,104","1,168","1,166","1,160","1,150"
"Ponte de Lima","662","690","665","670","672","","","1,128","1,191","1,138","1,141","1,150","1,526","1,566","1,501","1,474","1,517"
"Valença","586","623","569","563","585","","","945","1,036","942","880","951","1,415","1,419","1,405","1,216","1,364"
"Viana do Castelo","980","952","950","979","965","","","1,289","1,319","1,325","1,319","1,313","1,714","1,722","1,728","1,672","1,709"
"Vila Nova de Cerveira","617","633","618","598","617","","","951","959","951","882","936","1,442","1,435","1,364","1,294","1,384"
"Cávado","1,004","985","956","939","971","","","1,385","1,346","1,296","1,274","1,325","1,763","1,728","1,683","1,627","1,700"
"Amares","754","728","682","658","706","","","1,157","1,050","992","970","1,042","1,525","1,380","1,266","1,213","1,346"
"Barcelos","860","838","844","867","852","","","1,152","1,141","1,127","1,151","1,143","1,471","1,441","1,445","1,447","1,451"
