Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
PT;Portugal;938;923;912;909;;1 611;1 579;1 541;1 509;;2 447;2 400;2 333;2 274
1;Continente;941;926;915;912;;1 618;1 587;1 550;1 519;;2 456;2 409;2 346;2 288
11;Norte;889;878;864;860;;1 394;1 367;1 331;1 304;;2 000;1 968;1 896;1 835
111;Alto Minho;654;629;632;641;;1 108;1 091;1 077;1 073;;1 542;1 508;1 489;1 460
1111601;Arcos de Valdevez;408;390;380;385;;813;766;754;760;;1 426;1 375;1 270;1 271
1111602;Caminha;892;934;851;779;;1 318;1 298;1 280;1 201;;1 750;1 719;1 635;1 574
1111603;Melgaço;200;193;202;223;;404;420;400;428;;733;747;724;740
1111604;Monção;469;450;469;506;;910;843;895;936;;1 345;1 218;1 241;1 228
1111605;Paredes de Coura;400;364;367;363;;723;600;645;565;;1 189;1 020;988;950
1111606;Ponte da Barca;325;400;517;463;;759;792;868;896;;1 104;1 168;1 166;1 160
1111607;Ponte de Lima;662;690;665;670;;1 128;1 191;1 138;1 141;;1 526;1 566;1 501;1 474
1111608;Valença;586;623;569;563;;945;1 036;942;880;;1 415;1 419;1 405;1 216
1111609;Viana do Castelo;980;952;950;979;;1 289;1 319;1 325;1 319;;1 714;1 722;1 728;1 672
1111610;Vila Nova de Cerveira;617;633;618;598;;951;959;951;882;;1 442;1 435;1 364;1 294
112;Cávado;1 004;985;956;939;;1 385;1 346;1 296;1 274;;1 763;1 728;1 683;1 627
1120301;Amares;754;728;682;658;;1 157;1 050;992;970;;1 525;1 380;1 266;1 213
1120302;Barcelos;860;838;844;867;;1 152;1 141;1 127;1 151;;1 471;1 441;1 445;1 447
1120303;Braga;1 176;1 125;1 077;1 045;;1 524;1 480;1 427;1 385;;1 905;1 856;1 796;1 737
1120306;Esposende;1 133;1 132;1 119;1 097;;1 518;1 500;1 508;1 445;;1 930;1 959;1 930;1 898
1120310;Terras de Bouro;375;363;375;426;;823;884;956;921;;1 318;1 395;1 342;1 333
1120313;Vila Verde;756;757;750;742;;1 083;1 079;1 066;1 066;;1 402;1 407;1 325;1 278
119;Ave;767;750;748;730;;1 150;1 121;1 097;1 066;;1 457;1 411;1 366;1 343
1190304;Cabeceiras de Basto;326;333;375;338;;631;653;775;755;;1 042;1 154;1 098;1 056
1190307;Fafe;600;557;526;506;;969;913;875;877;;1 301;1 205;1 165;1 128
1190308;Guimarães;863;878;842;836;;1 219;1 200;1 159;1 141;;1 541;1 501;1 437;1 429
1191705;Mondim de Basto;231;221;305;375;;536;533;550;617;;880;833;833;875
1190309;Póvoa de Lanhoso;528;530;574;573;;922;923;961;953;;1 294;1 237;1 237;1 205
1190311;Vieira do Minho;247;237;310;325;;564;560;650;625;;1 104;1 083;1 249;1 173
1190312;Vila Nova de Famalicão;980;906;915;878;;1 264;1 221;1 198;1 169;;1 515;1 448;1 411;1 384
1190314;Vizela;793;768;761;723;;1 073;1 044;990;968;;1 303;1 261;1 228;1 226
11A;Área Metropolitana do Porto;1 273;1 250;1 214;1 187;;1 800;1 766;1 706;1 646;;2 529;2 481;2 346;2 236
11A0104;Arouca;350;313;313;313;;924;908;865;804;;1 323;1 314;1 254;1 244
11A0107;Espinho;1 257;1 314;1 307;1 242;;1 830;1 924;1 864;1 705;;2 470;2 509;2 413;2 270
11A1304;Gondomar;1 250;1 250;1 225;1 199;;1 570;1 563;1 551;1 509;;1 895;1 869;1 846;1 768
11A1306;Maia;1 466;1 399;1 400;1 374;;1 806;1 754;1 722;1 679;;2 099;2 056;2 031;1 966
11A1308;Matosinhos;1 856;1 837;1 756;1 667;;2 491;2 406;2 228;2 143;;3 056;2 994;2 813;2 680
11A0113;Oliveira de Azeméis;638;632;614;612;;1 000;987;945;924;;1 238;1 219;1 161;1 174
11A1310;Paredes;750;743;673;719;;1 081;1 023;1 000;1 000;;1 385;1 345;1 286;1 250
11A1312;Porto;2 134;2 093;1 966;1 890;;2 866;2 798;2 684;2 609;;3 650;3 618;3 525;3 392
11A1313;Póvoa de Varzim;1 288;1 297;1 312;1 290;;1 737;1 729;1 732;1 670;;2 174;2 121;2 117;2 049
